iter	Logloss
0	0.6765747558
1	0.6612853975
2	0.646063145
3	0.6320053113
4	0.6192955852
5	0.6072950174
6	0.5957976195
7	0.5859816268
8	0.5772524993
9	0.568477776
10	0.5599438706
11	0.5523536541
12	0.5449513432
13	0.53775898
14	0.5312398858
15	0.5245059848
16	0.5183084101
17	0.5127290239
18	0.5075097897
19	0.5029015853
20	0.4988915347
21	0.4946709392
22	0.4908433127
23	0.487007032
24	0.4841702202
25	0.4809042978
26	0.4769873722
27	0.4742852034
28	0.4714997064
29	0.468973737
30	0.4668378795
31	0.46447505
32	0.4622194572
33	0.4599875904
34	0.4581305962
35	0.4560639017
36	0.4541824309
37	0.4526522348
38	0.45059126
39	0.4489707023
40	0.4472597171
41	0.4459173405
42	0.4444282534
43	0.4430657153
44	0.4417674635
45	0.4405842315
46	0.4392973384
47	0.4380818472
48	0.4370530864
49	0.4361855261
50	0.4352078362
51	0.434469134
52	0.4335869461
53	0.4327885395
54	0.4320661333
55	0.4311401228
56	0.4303074541
57	0.4295590608
58	0.4288348632
59	0.4277532512
60	0.4270479239
61	0.4262799254
62	0.4256985477
63	0.425081021
64	0.4243258016
65	0.4237050998
66	0.4230058174
67	0.4225848355
68	0.4217961199
69	0.421212721
70	0.4206847926
71	0.4200122964
72	0.4195961004
73	0.4191453645
74	0.4187510799
75	0.4183777998
76	0.417955258
77	0.4175487038
78	0.4168692334
79	0.416596237
80	0.4161560047
81	0.4157225317
82	0.4153937324
83	0.415115885
84	0.4147304167
85	0.4144366475
86	0.4140860329
87	0.4138755907
88	0.4135807002
89	0.4132640657
90	0.4129391365
91	0.4127277329
92	0.4122686443
93	0.4118285551
94	0.4114756815
95	0.4112379129
96	0.4108838982
97	0.410472762
98	0.4102334324
99	0.4100328144
100	0.409763859
101	0.4095579174
102	0.4093874007
103	0.4091915252
104	0.4089746121
105	0.4088432725
106	0.4085972218
107	0.4083988323
108	0.4081909312
109	0.4078590315
110	0.4076433665
111	0.4074202553
112	0.4072630107
